Date,RSI_Spread_NY
2017-01-24,54.24107142857143
2017-01-25,57.36607142857143
2017-01-26,51.78571428571429
2017-01-27,45.089285714285715
2017-01-30,35.714285714285715
2017-01-31,35.85746102449889
2017-02-01,30.512249443207125
2017-02-02,31.848552338530062
2017-02-03,36.30289532293987
2017-02-06,30.957683741648104
2017-02-07,29.84409799554566
2017-02-08,30.066815144766142
2017-02-09,34.29844097995546
2017-02-10,37.639198218262806
2017-02-13,41.87082405345211
2017-02-14,40.31180400890868
2017-02-15,42.98440979955456
2017-02-16,39.198218262806236
2017-02-17,40.97995545657016
2017-02-21,45.211581291759465
2017-02-22,40.44444444444444
2017-02-23,37.111111111111114
2017-02-24,38.22222222222223
2017-02-27,36.22222222222222
2017-02-28,28.0
2017-03-01,38.22222222222222
2017-03-02,24.666666666666664
2017-03-03,21.11111111111111
2017-03-06,14.88888888888889
2017-03-07,14.444444444444445
2017-03-08,9.777777777777777
2017-03-09,9.977827050997783
2017-03-10,12.86031042128603
2017-03-13,13.747228381374724
2017-03-14,9.534368070953438
2017-03-15,18.403547671840354
2017-03-16,13.303769401330378
2017-03-17,13.082039911308204
2017-03-20,10.864745011086475
2017-03-21,2.2172949002217295
2017-03-22,2.882483370288248
2017-03-23,2.2172949002217295
2017-03-24,2.439024390243903
2017-03-27,3.1042128603104215
2017-03-28,5.764966740576496
2017-03-29,6.430155210643016
2017-03-30,6.430155210643016
2017-03-31,4.878048780487806
2017-04-03,2.882483370288248
2017-04-04,2.4390243902439024
2017-04-05,0.8869179600886921
2017-04-06,2.21729490022173
2017-04-07,1.108647450110865
2017-04-10,2.439024390243903
2017-04-11,3.325942350332594
2017-04-12,0.8869179600886921
2017-04-13,-3.104212860310421
2017-04-17,2.439024390243902
2017-04-18,1.7738359201773837
2017-04-19,1.9955654101995566
2017-04-20,4.656319290465632
2017-04-21,3.325942350332595
2017-04-24,10.199556541019955
2017-04-25,13.747228381374724
2017-04-26,17.29490022172949
2017-04-27,19.733924611973393
2017-04-28,14.41241685144124
2017-05-01,15.077605321507761
2017-05-02,14.855875831485587
2017-05-03,11.30820399113082
2017-05-04,12.195121951219512
2017-05-05,19.06873614190687
2017-05-08,15.521064301552105
2017-05-09,13.303769401330376
2017-05-10,15.521064301552105
2017-05-11,12.638580931263858
2017-05-12,9.534368070953436
2017-05-15,12.86031042128603
2017-05-16,12.63858093126386
2017-05-17,-0.6651884700665187
2017-05-18,-0.2217294900221729
2017-05-19,4.212860310421285
2017-05-22,7.7605321507760525
2017-05-23,10.421286031042127
2017-05-24,12.860310421286032
2017-05-25,19.06873614190687
2017-05-26,18.625277161862527
2017-05-30,17.294900221729492
2017-05-31,19.733924611973396
2017-06-01,27.494456762749447
2017-06-02,33.40707964601769
2017-06-05,26.106194690265486
2017-06-06,18.36283185840708
2017-06-07,22.123893805309734
2017-06-08,16.8141592920354
2017-06-09,11.061946902654865
2017-06-12,8.407079646017698
2017-06-13,11.061946902654865
2017-06-14,12.61061946902655
2017-06-15,12.831858407079647
2017-06-16,15.486725663716813
2017-06-19,17.920353982300885
2017-06-20,8.628318584070795
2017-06-21,6.1946902654867255
2017-06-22,7.743362831858407
2017-06-23,7.964601769911504
2017-06-26,5.973451327433629
2017-06-27,1.3274336283185844
2017-06-28,3.9823008849557526
2017-06-29,0.8849557522123899
2017-06-30,3.31858407079646
2017-07-03,3.761061946902655
2017-07-05,2.654867256637168
2017-07-06,-1.991150442477876
2017-07-07,0.0
2017-07-10,-0.6637168141592924
2017-07-11,-2.433628318584071
2017-07-12,0.0
2017-07-13,0.22123893805309747
2017-07-14,2.8761061946902657
2017-07-17,2.8761061946902657
2017-07-18,3.0973451327433628
2017-07-19,7.079646017699114
2017-07-20,8.4070796460177
2017-07-21,9.513274336283185
2017-07-24,7.9646017699115035
2017-07-25,10.176991150442479
2017-07-26,9.292035398230087
2017-07-27,5.0884955752212395
2017-07-28,5.088495575221239
2017-07-31,2.654867256637168
2017-08-01,5.0884955752212395
2017-08-02,4.424778761061946
2017-08-03,4.203539823008849
2017-08-04,4.867256637168141
2017-08-07,5.309734513274336
2017-08-08,5.973451327433628
2017-08-09,3.539823008849557
2017-08-10,-3.982300884955753
2017-08-11,-4.20353982300885
2017-08-14,0.0
2017-08-15,-0.22123893805309747
2017-08-16,1.327433628318584
2017-08-17,-7.743362831858407
2017-08-18,-5.973451327433629
2017-08-21,-4.2035398230088505
2017-08-22,0.6637168141592915
2017-08-23,-1.9911504424778768
2017-08-24,-1.327433628318584
2017-08-25,-0.4424778761061945
2017-08-28,1.1061946902654873
2017-08-29,0.44247787610619493
2017-08-30,1.1061946902654864
2017-08-31,2.6548672566371683
2017-09-01,5.9734513274336285
2017-09-05,1.5486725663716814
2017-09-06,2.6548672566371683
2017-09-07,2.433628318584071
2017-09-08,6.63716814159292
2017-09-11,14.823008849557521
2017-09-12,14.823008849557521
2017-09-13,10.84070796460177
2017-09-14,11.283185840707963
2017-09-15,11.725663716814159
