tdoy,Year_1,Year_2,Year_3,Year_4
1,-4.904977375565611,3.8888888888888973,6.25,3.489360095164362
2,10.318609696548808,13.33333333333333,25.13888888888889,3.1992592814422682
3,26.48439281750006,14.444444444444438,36.42190346083789,3.576272961870308
4,37.06405195577651,17.222222222222207,43.05352376796196,4.10603522564168
5,42.23114915252204,14.444444444444414,47.58053401378355,2.380566009632279
6,38.26862082742413,7.222222222222197,54.6081784906304,-3.598286082710611
7,25.558710795535376,-0.5555555555555869,63.01079688686031,-9.009939808392243
8,32.053126871166526,-2.777777777777801,69.40337715693323,-20.520466903338285
9,35.025476536317335,-8.888888888888912,75.5634999626399,-25.98349810260987
10,36.65782346325312,-16.666666666666686,75.5634999626399,-29.216462287601665
11,42.977422739634164,-25.00000000000001,75.5634999626399,-29.796655219670498
12,50.22035797052353,-32.77777777777779,71.84393428546531,-25.980305168527973
13,61.80136350449781,-35.55555555555557,77.16653401997087,-20.893785009757913
14,69.28168145919263,-41.666666666666686,77.90472791172074,-13.618519681604946
15,87.23649053040347,-47.22222222222224,80.11015842302307,-13.725394386607604
16,101.12789347889661,-52.77777777777779,83.74141161703561,-13.069771608217984
17,107.55491263141775,-59.44444444444446,88.72664371517224,-12.27180997210061
18,104.04111193056119,-66.11111111111111,92.88973144418338,-9.378257821320801
19,93.24706084487286,-71.11111111111113,96.96486661553936,-5.370340753266056
20,87.52074895158461,-78.33333333333334,98.9611321555617,2.8208859036808143
21,84.21681194624718,-81.11111111111113,104.89043741847581,0.12436888010085578
22,72.53141715861209,-83.33333333333334,115.13495928939963,-0.9783224071249208
23,65.17671251691486,-78.33333333333334,116.3573170126349,-2.8386936608205904
24,62.45846829832418,-70.55555555555557,114.53408119511268,-6.800752168478863
25,83.04310492796236,-65.00000000000001,113.308172159712,-8.136530861704527
26,98.53656695137396,-57.77777777777779,117.00715780410005,-6.0935778686615265
27,118.0184242734589,-49.44444444444446,111.55167059673441,-7.701807901379087
28,140.59148833769052,-43.8888888888889,110.30724900498892,-6.010479773917432
29,165.38953237908842,-42.22222222222223,114.68865002592624,-6.126539453812152
30,170.53270811399003,-43.8888888888889,112.23506545420135,-7.389411120352795
31,174.59680307187654,-42.77777777777779,112.23506545420135,-2.07380919311807
32,179.99989899114374,-43.33333333333334,106.02936178594985,0.9637161698731855
33,179.39389004323388,-43.8888888888889,101.55046261669006,-1.3842772294261896
34,170.28321971573712,-45.55555555555557,95.00661642783645,-1.0385208843464389
35,169.21096070455292,-47.7777777777778,80.78738397997336,-1.6089184432974135
36,168.17553393261235,-54.44444444444445,71.2335791355032,-4.7263511834192755
37,158.76259671051116,-60.00000000000001,63.45023462934398,-7.174972998798679
38,156.13066149143066,-62.77777777777778,56.91222524417021,-12.024041573488308
39,148.73059868651973,-65.55555555555557,44.12046775143894,-23.67271014292457
40,139.1585371991585,-66.66666666666667,36.63369020590965,-36.20969610729233
41,123.28839169305672,-66.11111111111111,29.7029957751751,-46.14541628224713
42,115.34652690065586,-68.33333333333333,29.7029957751751,-55.53835444943205
43,99.84735946465086,-66.11111111111111,31.794979578000504,-62.40196913141863
44,104.72331442485125,-64.44444444444444,33.854276133906765,-66.74966870094914
45,99.86525201852814,-64.44444444444444,39.938561412720695,-71.37235236962181
46,93.20753027682362,-61.66666666666667,38.96676584735459,-72.67832377831989
47,94.22738393479209,-60.00000000000001,36.0308482590302,-74.13792075140857
48,87.81394500635282,-57.77777777777777,31.029714131859976,-76.51471912769611
49,80.63222510298071,-56.666666666666664,22.710367202853,-76.32758541556622
50,64.36192798498506,-52.222222222222214,18.24817203184017,-76.0955029196404
51,61.28451316313854,-51.11111111111111,13.610988814905255,-77.58953398716287
52,71.25925190978518,-50.55555555555556,8.776478652568853,-76.33356281501484
53,69.51968942975664,-49.444444444444436,3.7171075524493613,-76.28660559837796
54,65.53123148588567,-43.88888888888888,13.025053102028172,-76.38033443000494
