Date,M21_Breadth,M21_MA10
2003-01-02,59.89010989010989,
2003-01-03,57.417582417582416,
2003-01-06,56.86813186813187,
2003-01-07,57.534246575342465,
2003-01-08,56.986301369863014,
2003-01-09,57.534246575342465,
2003-01-10,56.986301369863014,
2003-01-13,57.80821917808219,
2003-01-14,56.71232876712329,
2003-01-15,57.26027397260274,57.49977419840434
2003-01-16,57.26027397260274,57.23679060665362
2003-01-17,56.16438356164384,57.11147072105977
2003-01-21,56.71232876712329,57.09589041095891
2003-01-22,55.342465753424655,56.87671232876712
2003-01-23,52.87671232876713,56.465753424657535
2003-01-24,49.04109589041096,55.61643835616438
2003-01-27,45.75342465753425,54.493150684931514
2003-01-28,43.56164383561644,53.06849315068494
2003-01-29,44.109589041095894,51.80821917808218
2003-01-30,42.73972602739726,50.35616438356165
2003-01-31,42.19178082191781,48.84931506849315
2003-02-03,40.273972602739725,47.26027397260274
2003-02-04,37.26027397260274,45.31506849315069
2003-02-05,34.24657534246575,43.205479452054796
2003-02-06,32.602739726027394,41.178082191780824
2003-02-07,31.232876712328768,39.397260273972606
2003-02-10,29.315068493150687,37.75342465753425
2003-02-11,27.123287671232877,36.10958904109589
2003-02-12,23.835616438356162,34.082191780821915
2003-02-13,21.643835616438356,31.972602739726028
2003-02-14,21.095890410958905,29.86301369863014
2003-02-18,19.45205479452055,27.78082191780822
2003-02-19,18.30601092896175,25.88539561344412
2003-02-20,18.0327868852459,24.264016767722136
2003-02-21,18.0327868852459,22.807021483643986
2003-02-24,17.43869209809264,21.427603022220374
2003-02-25,18.256130790190735,20.32170925192438
2003-02-26,19.346049046321525,19.543985389433242
2003-02-27,20.16348773841962,19.176772519439588
2003-02-28,21.525885558583106,19.164977513654062
2003-03-03,22.3433242506812,19.289720897626292
2003-03-04,22.070844686648503,19.55159988683909
2003-03-05,21.798365122615802,19.900835306204492
2003-03-06,22.615803814713896,20.359136999151293
2003-03-07,23.705722070844686,20.926430517711175
2003-03-10,23.43324250681199,21.525885558583106
