Date,RSI_Spread_SPX
2003-01-23,-25.40192926045016
2003-01-24,-39.22829581993569
2003-01-27,-46.62379421221865
2003-01-28,-32.79742765273312
2003-01-29,-29.90353697749196
2003-01-30,-36.0128617363344
2003-01-31,-19.614147909967848
2003-02-03,-15.112540192926046
2003-02-04,-21.864951768488748
2003-02-05,-22.829581993569132
2003-02-06,-24.437299035369776
2003-02-07,-30.54662379421222
2003-02-10,-22.508038585209004
2003-02-11,-24.437299035369776
2003-02-12,-32.79742765273312
2003-02-13,-31.832797427652732
2003-02-14,-16.720257234726688
2003-02-18,-9.0032154340836
2003-02-19,-10.610932475884244
2003-02-20,-12.540192926045018
2003-02-21,-6.7524115755627
2003-02-24,-10.932475884244374
2003-02-25,-7.717041800643088
2003-02-26,-9.003215434083602
2003-02-27,-4.82315112540193
2003-02-28,-4.501607717041802
2003-03-03,-3.2154340836012865
2003-03-04,-7.717041800643088
2003-03-05,-6.752411575562702
2003-03-06,-10.610932475884244
2003-03-07,-7.717041800643088
2003-03-10,-13.82636655948553
2003-03-11,-17.04180064308682
2003-03-12,-15.434083601286174
2003-03-13,-3.858520900321544
2003-03-14,-2.8938906752411575
2003-03-17,5.144694533762058
2003-03-18,5.144694533762058
2003-03-19,8.038585209003216
2003-03-20,7.395498392282959
2003-03-21,17.041800643086816
2003-03-24,0.0
2003-03-25,1.9292604501607717
2003-03-26,1.6077170418006432
2003-03-27,2.2508038585209
2003-03-28,2.893890675241158
2003-03-31,0.0
2003-04-01,1.9292604501607715
2003-04-02,5.144694533762058
2003-04-03,3.536977491961415
2003-04-04,2.8938906752411575
2003-04-07,3.858520900321543
2003-04-08,1.2861736334405145
2003-04-09,1.2861736334405145
2003-04-10,0.6430868167202575
2003-04-11,0.32154340836012896
2003-04-14,3.536977491961415
2003-04-15,7.395498392282959
2003-04-16,5.144694533762058
2003-04-17,8.038585209003216
2003-04-21,7.073954983922831
2003-04-22,17.041800643086816
2003-04-23,18.006430868167204
2003-04-24,10.289389067524116
2003-04-25,3.215434083601287
2003-04-28,8.681672025723472
2003-04-29,9.64630225080386
2003-04-30,9.646302250803858
2003-05-01,7.717041800643087
2003-05-02,12.861736334405144
2003-05-05,14.469453376205788
2003-05-06,18.006430868167204
2003-05-07,12.861736334405144
2003-05-08,7.07395498392283
2003-05-09,11.57556270096463
2003-05-12,21.864951768488748
2003-05-13,17.684887459807076
2003-05-14,14.469453376205788
2003-05-15,17.684887459807076
2003-05-16,17.684887459807076
2003-05-19,4.5016077170418
2003-05-20,5.466237942122187
2003-05-21,7.395498392282959
2003-05-22,12.218649517684888
2003-05-23,16.077170418006432
2003-05-27,20.90032154340836
2003-05-28,21.54340836012862
2003-05-29,16.077170418006432
2003-05-30,28.617363344051448
2003-06-02,32.47588424437299
2003-06-03,26.68810289389068
2003-06-04,37.62057877813505
2003-06-05,40.51446945337621
2003-06-06,31.189710610932476
2003-06-09,10.289389067524116
2003-06-10,14.147909967845658
2003-06-11,22.829581993569132
2003-06-12,23.79421221864952
2003-06-13,14.790996784565916
2003-06-16,29.260450160771708
2003-06-17,25.080385852090032
2003-06-18,19.292604501607716
2003-06-19,6.430868167202572
2003-06-20,6.430868167202572
2003-06-23,0.643086816720257
2003-06-24,0.643086816720257
2003-06-25,-0.3215434083601285
2003-06-26,1.9292604501607717
2003-06-27,1.2861736334405147
2003-06-30,1.6077170418006432
2003-07-01,2.2508038585209005
2003-07-02,4.823151125401929
2003-07-03,3.858520900321544
2003-07-07,8.681672025723474
2003-07-08,14.14790996784566
2003-07-09,10.610932475884244
2003-07-10,4.180064308681672
2003-07-11,8.360128617363344
2003-07-14,9.32475884244373
2003-07-15,8.681672025723472
2003-07-16,5.144694533762058
2003-07-17,-0.643086816720257
2003-07-18,3.215434083601286
2003-07-21,0.643086816720257
2003-07-22,4.180064308681672
2003-07-23,5.448717948717949
2003-07-24,3.846153846153846
2003-07-25,7.371794871794872
2003-07-28,7.371794871794872
2003-07-29,4.166666666666667
2003-07-30,3.8461538461538467
2003-07-31,3.846153846153846
2003-08-01,-0.641025641025641
2003-08-04,0.0
2003-08-05,-3.5256410256410255
2003-08-06,-2.884615384615384
2003-08-07,-0.9615384615384615
2003-08-08,0.0
2003-08-11,0.6410256410256412
2003-08-12,1.923076923076923
2003-08-13,0.9615384615384617
2003-08-14,4.166666666666668
2003-08-15,4.487179487179488
2003-08-18,8.333333333333332
2003-08-19,12.499999999999998
2003-08-20,9.935897435897434
2003-08-21,14.743589743589743
2003-08-22,8.012820512820515
2003-08-25,5.128205128205128
2003-08-26,5.448717948717949
2003-08-27,8.653846153846155
2003-08-28,10.897435897435898
2003-08-29,14.743589743589745
2003-09-02,22.435897435897438
2003-09-03,21.474358974358974
2003-09-04,20.51282051282051
