Date,M50_Breadth,M50_MA10
2003-01-02,33.24175824175824,
2003-01-03,33.51648351648351,
2003-01-06,34.34065934065934,
2003-01-07,35.16483516483517,
2003-01-08,35.989010989010985,
2003-01-09,37.08791208791209,
2003-01-10,37.637362637362635,
2003-01-13,37.91208791208791,
2003-01-14,38.46153846153847,
2003-01-15,40.38461538461539,36.37362637362637
2003-01-16,40.65934065934066,37.11538461538461
2003-01-17,40.65934065934066,37.82967032967033
2003-01-21,40.934065934065934,38.48901098901099
2003-01-22,40.934065934065934,39.065934065934066
2003-01-23,41.75824175824176,39.64285714285714
2003-01-24,42.032967032967036,40.13736263736264
2003-01-27,42.30769230769231,40.604395604395606
2003-01-28,42.30769230769231,41.043956043956044
2003-01-29,41.75824175824176,41.37362637362637
2003-01-30,41.208791208791204,41.456043956043956
2003-01-31,41.48351648351649,41.53846153846154
2003-02-03,41.48351648351649,41.620879120879124
2003-02-04,41.48351648351649,41.675824175824175
2003-02-05,41.48351648351649,41.73076923076923
2003-02-06,40.10989010989011,41.56593406593407
2003-02-07,39.285714285714285,41.291208791208796
2003-02-10,39.285714285714285,40.98901098901099
2003-02-11,38.46153846153847,40.604395604395606
2003-02-12,37.362637362637365,40.16483516483517
2003-02-13,37.362637362637365,39.78021978021978
2003-02-14,37.362637362637365,39.36813186813187
2003-02-18,37.08791208791209,38.92857142857143
2003-02-19,37.362637362637365,38.51648351648352
2003-02-20,38.18681318681318,38.18681318681319
2003-02-21,37.637362637362635,37.93956043956044
2003-02-24,37.637362637362635,37.77472527472527
2003-02-25,37.08791208791209,37.55494505494505
2003-02-26,36.53846153846153,37.36263736263736
2003-02-27,36.53846153846153,37.28021978021978
2003-02-28,36.81318681318682,37.22527472527472
2003-03-03,35.714285714285715,37.060439560439555
2003-03-04,35.714285714285715,36.92307692307692
2003-03-05,35.714285714285715,36.75824175824176
2003-03-06,35.714285714285715,36.51098901098901
2003-03-07,35.16483516483517,36.26373626373626
2003-03-10,34.52054794520548,35.95205479452055
2003-03-11,34.52054794520548,35.69531838024989
2003-03-12,34.24657534246575,35.46612976065031
2003-03-13,33.6986301369863,35.182146620502785
2003-03-14,34.24657534246575,34.92548547343068
2003-03-17,34.52054794520548,34.806111696522656
2003-03-18,34.794520547945204,34.7141351798886
2003-03-19,34.52054794520548,34.59476140298058
2003-03-20,35.06849315068493,34.530182146620504
2003-03-21,35.61643835616438,34.57534246575342
2003-03-24,35.06849315068493,34.630136986301366
2003-03-25,34.52054794520548,34.63013698630137
2003-03-26,34.794520547945204,34.68493150684931
2003-03-27,34.52054794520548,34.767123287671225
2003-03-28,34.24657534246575,34.767123287671225
2003-03-31,34.52054794520548,34.76712328767123
2003-04-01,34.794520547945204,34.76712328767123
2003-04-02,34.794520547945204,34.7945205479452
2003-04-03,35.342465753424655,34.821917808219176
2003-04-04,35.61643835616438,34.821917808219176
2003-04-07,35.89041095890411,34.9041095890411
2003-04-08,36.71232876712329,35.12328767123288
2003-04-09,36.71232876712329,35.31506849315068
2003-04-10,36.43835616438356,35.50684931506849
2003-04-11,36.986301369863014,35.78082191780822
2003-04-14,37.534246575342465,36.08219178082192
2003-04-15,38.52459016393443,36.45519874242084
2003-04-16,39.07103825136612,36.882850512762936
2003-04-17,40.43715846994536,37.392319784415
2003-04-21,40.98360655737705,37.929036604536265
2003-04-22,42.07650273224044,38.547645781869896
2003-04-23,43.169398907103826,39.19335279586796
2003-04-24,43.98907103825137,39.921027022980766
2003-04-25,45.62841530054645,40.84003293659705
2003-04-28,46.72131147540984,41.81353394715173
