Date,MACD_NQ_Breadth
2017-01-03,72.68817204301075
2017-01-04,74.83870967741936
2017-01-05,75.05376344086021
2017-01-06,76.77419354838709
2017-01-09,76.98924731182795
2017-01-10,77.84946236559139
2017-01-11,77.63440860215054
2017-01-12,77.20430107526882
2017-01-13,79.56989247311827
2017-01-17,78.27956989247312
2017-01-18,78.92473118279571
2017-01-19,78.06451612903226
2017-01-20,76.34408602150538
2017-01-23,75.91397849462366
2017-01-24,76.12903225806451
2017-01-25,78.70967741935485
2017-01-26,78.27956989247312
2017-01-27,78.06451612903226
2017-01-30,75.6989247311828
2017-01-31,73.54838709677419
2017-02-01,70.75268817204301
2017-02-02,70.10752688172043
2017-02-03,71.3978494623656
2017-02-06,70.96774193548387
2017-02-07,70.96774193548387
2017-02-08,71.18279569892472
2017-02-09,72.90322580645162
2017-02-10,76.12903225806451
2017-02-13,80.0
2017-02-14,81.29032258064515
2017-02-15,82.79569892473118
2017-02-16,83.44086021505376
2017-02-17,83.65591397849462
2017-02-21,84.73118279569893
2017-02-22,84.73118279569893
2017-02-23,84.73118279569893
2017-02-24,84.94623655913979
2017-02-27,84.73118279569893
2017-02-28,83.87096774193549
2017-03-01,84.08602150537634
2017-03-02,83.87096774193549
2017-03-03,83.65591397849462
2017-03-06,83.22580645161291
2017-03-07,81.29032258064515
2017-03-08,79.56989247311827
2017-03-09,77.6824034334764
2017-03-10,76.39484978540773
2017-03-13,74.0343347639485
2017-03-14,73.39055793991416
2017-03-15,73.60515021459227
2017-03-16,74.2489270386266
2017-03-17,75.53648068669528
2017-03-20,74.2489270386266
2017-03-21,69.09871244635193
2017-03-22,65.87982832618026
2017-03-23,63.519313304721024
2017-03-24,61.587982832618025
2017-03-27,60.30042918454935
2017-03-28,59.442060085836914
2017-03-29,58.36909871244635
2017-03-30,59.871244635193136
2017-03-31,60.94420600858369
2017-04-03,59.227467811158796
2017-04-04,59.01287553648069
2017-04-05,58.798283261802574
2017-04-06,57.72532188841202
2017-04-07,57.93991416309014
2017-04-10,58.798283261802574
2017-04-11,59.01287553648069
2017-04-12,56.866952789699575
2017-04-13,51.50214592274678
2017-04-17,53.00429184549357
2017-04-18,52.14592274678112
2017-04-19,51.931330472103
2017-04-20,54.077253218884124
2017-04-21,55.15021459227468
2017-04-24,58.15450643776824
2017-04-25,63.73390557939914
2017-04-26,65.87982832618026
2017-04-27,68.88412017167383
2017-04-28,68.6695278969957
2017-05-01,69.09871244635193
2017-05-02,67.59656652360515
2017-05-03,66.7381974248927
2017-05-04,65.45064377682404
2017-05-05,66.95278969957081
2017-05-08,66.7381974248927
2017-05-09,66.7381974248927
2017-05-10,66.52360515021459
2017-05-11,66.52360515021459
2017-05-12,65.02145922746782
2017-05-15,66.52360515021459
2017-05-16,66.09442060085837
2017-05-17,62.01716738197425
2017-05-18,60.08583690987125
2017-05-19,58.583690987124456
2017-05-22,59.01287553648069
2017-05-23,60.51502145922747
2017-05-24,60.94420600858369
2017-05-25,61.80257510729614
2017-05-26,64.59227467811158
2017-05-30,66.7381974248927
2017-05-31,67.81115879828327
2017-06-01,69.52789699570815
2017-06-02,71.67381974248927
2017-06-05,73.8197424892704
2017-06-06,72.96137339055794
2017-06-07,72.53218884120172
2017-06-08,72.74678111587983
2017-06-09,74.0343347639485
2017-06-12,76.82403433476395
2017-06-13,79.6137339055794
2017-06-14,80.90128755364807
2017-06-15,80.47210300429185
2017-06-16,79.82832618025752
2017-06-19,80.51391862955032
2017-06-20,78.37259100642399
2017-06-21,77.73019271948608
2017-06-22,74.7323340471092
2017-06-23,73.44753747323341
2017-06-26,73.87580299785867
2017-06-27,70.8779443254818
2017-06-28,71.73447537473233
2017-06-29,69.37901498929337
2017-06-30,68.52248394004282
2017-07-03,65.95289079229121
2017-07-05,66.59528907922912
2017-07-06,61.45610278372591
2017-07-07,61.02783725910065
2017-07-10,60.17130620985011
2017-07-11,58.45824411134903
2017-07-12,62.31263383297645
2017-07-13,63.16916488222698
2017-07-14,66.16702355460386
2017-07-17,68.3083511777302
2017-07-18,70.02141327623126
2017-07-19,72.59100642398288
2017-07-20,73.87580299785867
2017-07-21,74.7323340471092
2017-07-24,73.44753747323341
2017-07-25,74.08993576017131
2017-07-26,73.44753747323341
2017-07-27,73.44753747323341
2017-07-28,74.30406852248393
2017-07-31,73.23340471092077
2017-08-01,71.73447537473233
2017-08-02,69.80728051391864
2017-08-03,68.3083511777302
2017-08-04,68.73661670235546
2017-08-07,68.95074946466809
2017-08-08,67.45182012847965
2017-08-09,66.80942184154176
2017-08-10,61.88436830835118
2017-08-11,57.38758029978587
2017-08-14,56.9593147751606
2017-08-15,56.102783725910065
2017-08-16,57.17344753747323
2017-08-17,54.81798715203426
2017-08-18,50.96359743040685
2017-08-21,49.67880085653105
2017-08-22,48.82226980728051
2017-08-23,49.46466809421842
2017-08-24,47.75160599571734
2017-08-25,48.82226980728051
2017-08-28,49.67880085653105
2017-08-29,49.03640256959314
2017-08-30,49.46466809421842
2017-08-31,52.24839400428265
2017-09-01,55.88865096359743
2017-09-05,57.17344753747323
2017-09-06,58.02997858672377
2017-09-07,60.38543897216274
2017-09-08,61.88436830835118
2017-09-11,63.811563169164884
2017-09-12,68.09421841541756
2017-09-13,69.37901498929337
2017-09-14,69.80728051391864
2017-09-15,70.02141327623126
2017-09-18,70.66381156316916
2017-09-19,71.94860813704497
2017-09-20,71.94860813704497
2017-09-21,72.1627408993576
2017-09-22,71.5203426124197
2017-09-25,69.593147751606
2017-09-26,69.593147751606
2017-09-27,69.37901498929337
2017-09-28,69.16488222698072
2017-09-29,68.73661670235546
2017-10-02,70.2355460385439
2017-10-03,71.73447537473233
2017-10-04,73.01927194860814
2017-10-05,75.80299785867237
2017-10-06,77.30192719486081
2017-10-09,77.08779443254818
2017-10-10,77.73019271948608
