Date,MACD_NY_Breadth
2017-01-03,73.03609341825901
2017-01-04,75.15923566878982
2017-01-05,75.3715498938429
2017-01-06,77.07006369426752
2017-01-09,76.85774946921444
2017-01-10,77.70700636942675
2017-01-11,77.49469214437367
2017-01-12,77.07006369426752
2017-01-13,79.61783439490446
2017-01-17,78.343949044586
2017-01-18,78.76857749469215
2017-01-19,77.91932059447984
2017-01-20,76.2208067940552
2017-01-23,75.79617834394905
2017-01-24,76.00849256900213
2017-01-25,78.55626326963908
2017-01-26,78.13163481953292
2017-01-27,77.91932059447984
2017-01-30,75.3715498938429
2017-01-31,73.24840764331209
2017-02-01,70.27600849256899
2017-02-02,69.85138004246284
2017-02-03,71.12526539278132
2017-02-06,70.70063694267516
2017-02-07,70.70063694267516
2017-02-08,70.91295116772824
2017-02-09,72.61146496815286
2017-02-10,75.79617834394905
2017-02-13,79.61783439490446
2017-02-14,80.89171974522293
2017-02-15,82.59023354564756
2017-02-16,83.2271762208068
2017-02-17,83.43949044585987
2017-02-21,84.50106157112526
2017-02-22,84.71337579617835
2017-02-23,84.71337579617835
2017-02-24,85.13800424628451
2017-02-27,84.92569002123143
2017-02-28,83.86411889596603
2017-03-01,84.07643312101911
2017-03-02,83.86411889596603
2017-03-03,83.65180467091295
2017-03-06,83.2271762208068
2017-03-07,81.31634819532908
2017-03-08,79.61783439490446
2017-03-09,77.7542372881356
2017-03-10,76.48305084745762
2017-03-13,74.15254237288136
2017-03-14,73.51694915254238
2017-03-15,73.72881355932203
2017-03-16,74.36440677966102
2017-03-17,75.63559322033898
2017-03-20,74.36440677966102
2017-03-21,69.27966101694916
2017-03-22,66.10169491525424
2017-03-23,63.559322033898304
2017-03-24,61.86440677966102
2017-03-27,60.59322033898306
2017-03-28,59.7457627118644
2017-03-29,58.686440677966104
2017-03-30,60.16949152542372
2017-03-31,61.228813559322035
2017-04-03,59.53389830508474
2017-04-04,59.32203389830508
2017-04-05,59.11016949152542
2017-04-06,58.05084745762712
2017-04-07,58.26271186440678
2017-04-10,59.11016949152542
2017-04-11,59.32203389830508
2017-04-12,57.20338983050848
2017-04-13,51.90677966101694
2017-04-17,53.38983050847458
2017-04-18,52.54237288135594
2017-04-19,52.33050847457628
2017-04-20,54.44915254237288
2017-04-21,55.50847457627118
2017-04-24,58.47457627118644
2017-04-25,63.983050847457626
2017-04-26,66.10169491525424
2017-04-27,69.27966101694916
2017-04-28,69.0677966101695
2017-05-01,69.49152542372882
2017-05-02,68.00847457627118
2017-05-03,67.16101694915254
2017-05-04,65.88983050847457
2017-05-05,67.37288135593221
2017-05-08,67.16101694915254
2017-05-09,67.16101694915254
2017-05-10,66.94915254237289
2017-05-11,66.94915254237289
2017-05-12,65.46610169491525
2017-05-15,66.94915254237289
2017-05-16,66.52542372881356
2017-05-17,62.28813559322034
2017-05-18,60.16949152542372
2017-05-19,58.47457627118644
2017-05-22,58.89830508474576
2017-05-23,60.381355932203384
2017-05-24,60.80508474576271
2017-05-25,61.652542372881356
2017-05-26,64.61864406779661
2017-05-30,66.73728813559322
2017-05-31,67.79661016949152
2017-06-01,69.49152542372882
2017-06-02,71.82203389830508
2017-06-05,73.9406779661017
2017-06-06,73.09322033898306
2017-06-07,72.66949152542372
2017-06-08,72.88135593220339
2017-06-09,74.15254237288136
2017-06-12,76.90677966101694
2017-06-13,79.66101694915254
2017-06-14,80.9322033898305
2017-06-15,80.50847457627118
2017-06-16,79.87288135593221
2017-06-19,80.54968287526427
2017-06-20,78.43551797040169
2017-06-21,77.80126849894292
2017-06-22,74.84143763213531
2017-06-23,73.57293868921776
2017-06-26,74.20718816067652
2017-06-27,71.24735729386892
2017-06-28,72.09302325581395
2017-06-29,69.76744186046511
2017-06-30,68.92177589852008
2017-07-03,66.17336152219873
2017-07-05,66.8076109936575
2017-07-06,61.733615221987314
2017-07-07,60.887949260042284
2017-07-10,60.04228329809725
2017-07-11,58.350951374207185
2017-07-12,62.15644820295984
2017-07-13,63.00211416490487
2017-07-14,65.96194503171247
2017-07-17,68.07610993657505
2017-07-18,69.97885835095138
2017-07-19,72.51585623678648
2017-07-20,73.99577167019028
2017-07-21,74.84143763213531
2017-07-24,73.57293868921776
2017-07-25,74.20718816067652
2017-07-26,73.57293868921776
2017-07-27,73.57293868921776
2017-07-28,74.20718816067652
2017-07-31,73.36152219873149
2017-08-01,71.8816067653277
2017-08-02,69.97885835095138
2017-08-03,68.28752642706131
2017-08-04,68.71035940803382
2017-08-07,68.92177589852008
2017-08-08,67.44186046511628
2017-08-09,66.8076109936575
2017-08-10,61.94503171247357
2017-08-11,57.505285412262154
2017-08-14,57.082452431289646
2017-08-15,56.236786469344615
2017-08-16,57.505285412262154
2017-08-17,55.17970401691332
2017-08-18,50.95137420718816
2017-08-21,49.68287526427061
2017-08-22,49.04862579281184
2017-08-23,49.68287526427061
2017-08-24,47.99154334038055
2017-08-25,49.04862579281184
2017-08-28,49.89429175475687
2017-08-29,49.2600422832981
2017-08-30,49.471458773784356
2017-08-31,52.21987315010571
2017-09-01,55.81395348837209
2017-09-05,57.082452431289646
2017-09-06,57.928118393234676
2017-09-07,60.25369978858352
2017-09-08,61.733615221987314
2017-09-11,63.63636363636363
2017-09-12,67.8646934460888
2017-09-13,69.13319238900634
2017-09-14,69.55602536997885
2017-09-15,69.76744186046511
2017-09-18,70.40169133192389
2017-09-19,71.67019027484145
2017-09-20,71.45877378435517
2017-09-21,71.67019027484145
2017-09-22,71.03594080338267
2017-09-25,69.13319238900634
2017-09-26,68.92177589852008
2017-09-27,68.92177589852008
2017-09-28,68.71035940803382
2017-09-29,68.28752642706131
2017-10-02,69.76744186046511
