Date,SPX,Oscillator,Threshold_Up,Threshold_Down
2014-01-15,,0.6397849462365591,0.6,0.2
2014-01-16,,0.6182795698924731,0.6,0.2
2014-01-17,,0.5698924731182796,0.6,0.2
2014-01-21,,0.5913978494623656,0.6,0.2
2014-01-22,,0.5860215053763441,0.6,0.2
2014-01-23,,0.42473118279569894,0.6,0.2
2014-01-24,,0.15053763440860216,0.6,0.2
2014-01-27,,0.11290322580645161,0.6,0.2
2014-01-28,,0.23118279569892472,0.6,0.2
2014-01-29,,0.16129032258064516,0.6,0.2
2014-01-30,,0.3333333333333333,0.6,0.2
2014-01-31,,0.34408602150537637,0.6,0.2
2014-02-03,,0.11290322580645161,0.6,0.2
2014-02-04,,0.1989247311827957,0.6,0.2
2014-02-05,,0.22043010752688172,0.6,0.2
2014-02-06,,0.4946236559139785,0.6,0.2
2014-02-07,,0.7258064516129032,0.6,0.2
2014-02-10,,0.7365591397849462,0.6,0.2
2014-02-11,,0.8333333333333334,0.6,0.2
2014-02-12,,0.8279569892473119,0.6,0.2
2014-02-13,,0.8602150537634409,0.6,0.2
2014-02-14,,0.8709677419354839,0.6,0.2
2014-02-18,,0.8172043010752689,0.6,0.2
2014-02-19,,0.7311827956989247,0.6,0.2
2014-02-20,,0.7903225806451613,0.6,0.2
2014-02-21,,0.6935483870967742,0.6,0.2
2014-02-24,,0.7365591397849462,0.6,0.2
2014-02-25,,0.6290322580645161,0.6,0.2
2014-02-26,,0.6451612903225806,0.6,0.2
2014-02-27,,0.6935483870967742,0.6,0.2
2014-02-28,,0.7204301075268817,0.6,0.2
2014-03-03,,0.553763440860215,0.6,0.2
2014-03-04,,0.8225806451612904,0.6,0.2
2014-03-05,,0.7204301075268817,0.6,0.2
2014-03-06,,0.7096774193548387,0.6,0.2
2014-03-07,,0.6397849462365591,0.6,0.2
2014-03-10,,0.5483870967741935,0.6,0.2
2014-03-11,,0.41935483870967744,0.6,0.2
2014-03-12,,0.41397849462365593,0.6,0.2
2014-03-13,,0.1827956989247312,0.6,0.2
2014-03-14,,0.20967741935483872,0.6,0.2
2014-03-17,,0.3655913978494624,0.6,0.2
2014-03-18,,0.5483870967741935,0.6,0.2
2014-03-19,,0.3817204301075269,0.6,0.2
2014-03-20,,0.46774193548387094,0.6,0.2
2014-03-21,,0.45161290322580644,0.6,0.2
2014-03-24,,0.3172043010752688,0.6,0.2
2014-03-25,,0.41397849462365593,0.6,0.2
2014-03-26,,0.25806451612903225,0.6,0.2
2014-03-27,,0.24193548387096775,0.6,0.2
2014-03-28,,0.3870967741935484,0.6,0.2
2014-03-31,,0.5860215053763441,0.6,0.2
2014-04-01,,0.7688172043010753,0.6,0.2
2014-04-02,,0.7956989247311828,0.6,0.2
2014-04-03,,0.7741935483870968,0.6,0.2
2014-04-04,,0.4731182795698925,0.6,0.2
2014-04-07,,0.23655913978494625,0.6,0.2
2014-04-08,,0.2849462365591398,0.6,0.2
2014-04-09,,0.532258064516129,0.6,0.2
2014-04-10,,0.15591397849462366,0.6,0.2
2014-04-11,,0.10752688172043011,0.6,0.2
2014-04-14,,0.1774193548387097,0.6,0.2
2014-04-15,,0.25806451612903225,0.6,0.2
2014-04-16,,0.5591397849462365,0.6,0.2
2014-04-17,,0.6827956989247311,0.6,0.2
2014-04-21,,0.7526881720430108,0.6,0.2
2014-04-22,,0.8010752688172043,0.6,0.2
2014-04-23,,0.7526881720430108,0.6,0.2
2014-04-24,,0.7419354838709677,0.6,0.2
2014-04-25,,0.4731182795698925,0.6,0.2
2014-04-28,,0.44086021505376344,0.6,0.2
2014-04-29,,0.5161290322580645,0.6,0.2
2014-04-30,,0.5161290322580645,0.6,0.2
2014-05-01,,0.5591397849462365,0.6,0.2
2014-05-02,,0.532258064516129,0.6,0.2
2014-05-05,,0.5752688172043011,0.6,0.2
2014-05-06,,0.34946236559139787,0.6,0.2
2014-05-07,,0.5161290322580645,0.6,0.2
2014-05-08,,0.44086021505376344,0.6,0.2
2014-05-09,,0.510752688172043,0.6,0.2
2014-05-12,,0.6827956989247311,0.6,0.2
2014-05-13,,0.6774193548387096,0.6,0.2
2014-05-14,,0.5161290322580645,0.6,0.2
2014-05-15,,0.3064516129032258,0.6,0.2
2014-05-16,,0.43548387096774194,0.6,0.2
2014-05-19,,0.553763440860215,0.6,0.2
2014-05-20,,0.3333333333333333,0.6,0.2
2014-05-21,,0.44623655913978494,0.6,0.2
2014-05-22,,0.510752688172043,0.6,0.2
2014-05-23,,0.6774193548387096,0.6,0.2
2014-05-27,,0.7741935483870968,0.6,0.2
2014-05-28,,0.7580645161290323,0.6,0.2
2014-05-29,,0.8118279569892473,0.6,0.2
2014-05-30,,0.8064516129032258,0.6,0.2
2014-06-02,,0.7956989247311828,0.6,0.2
2014-06-03,,0.7096774193548387,0.6,0.2
2014-06-04,,0.7473118279569892,0.6,0.2
2014-06-05,,0.8118279569892473,0.6,0.2
2014-06-06,,0.8440860215053764,0.6,0.2
2014-06-09,,0.7634408602150538,0.6,0.2
2014-06-10,,0.7043010752688172,0.6,0.2
2014-06-11,,0.5053763440860215,0.6,0.2
2014-06-12,,0.3387096774193548,0.6,0.2
2014-06-13,,0.3978494623655914,0.6,0.2
2014-06-16,,0.3602150537634409,0.6,0.2
2014-06-17,,0.489247311827957,0.6,0.2
2014-06-18,,0.6451612903225806,0.6,0.2
2014-06-19,,0.7043010752688172,0.6,0.2
2014-06-20,,0.7204301075268817,0.6,0.2
2014-06-23,,0.6881720430107527,0.6,0.2
2014-06-24,,0.5161290322580645,0.6,0.2
2014-06-25,,0.5645161290322581,0.6,0.2
2014-06-26,,0.5,0.6,0.2
2014-06-27,,0.5268817204301075,0.6,0.2
2014-06-30,,0.5483870967741935,0.6,0.2
2014-07-01,,0.7150537634408602,0.6,0.2
2014-07-02,,0.6182795698924731,0.6,0.2
2014-07-03,,0.6881720430107527,0.6,0.2
2014-07-07,,0.5698924731182796,0.6,0.2
2014-07-08,,0.3548387096774194,0.6,0.2
2014-07-09,,0.3924731182795699,0.6,0.2
2014-07-10,,0.27956989247311825,0.6,0.2
2014-07-11,,0.3064516129032258,0.6,0.2
2014-07-14,,0.3817204301075269,0.6,0.2
2014-07-15,,0.3924731182795699,0.6,0.2
2014-07-16,,0.46236559139784944,0.6,0.2
2014-07-17,,0.23118279569892472,0.6,0.2
2014-07-18,,0.5,0.6,0.2
2014-07-21,,0.4838709677419355,0.6,0.2
2014-07-22,,0.5860215053763441,0.6,0.2
2014-07-23,,0.553763440860215,0.6,0.2
2014-07-24,,0.6451612903225806,0.6,0.2
2014-07-25,,0.46774193548387094,0.6,0.2
2014-07-28,,0.46236559139784944,0.6,0.2
2014-07-29,,0.3333333333333333,0.6,0.2
2014-07-30,,0.34946236559139787,0.6,0.2
2014-07-31,,0.15053763440860216,0.6,0.2
2014-08-01,,0.10752688172043011,0.6,0.2
2014-08-04,,0.17204301075268819,0.6,0.2
2014-08-05,,0.13978494623655913,0.6,0.2
2014-08-06,,0.20967741935483872,0.6,0.2
2014-08-07,,0.1774193548387097,0.6,0.2
2014-08-08,,0.42473118279569894,0.6,0.2
2014-08-11,,0.543010752688172,0.6,0.2
2014-08-12,,0.5806451612903226,0.6,0.2
