Date,ADX_DI_Plus_Breadth
2003-01-21,8.62533692722372
2003-01-22,6.199460916442049
2003-01-23,7.816711590296496
2003-01-24,6.199460916442049
2003-01-27,4.31266846361186
2003-01-28,4.31266846361186
2003-01-29,5.929919137466308
2003-01-30,4.8517520215633425
2003-01-31,4.5822102425876015
2003-02-03,3.7735849056603774
2003-02-04,3.234501347708895
2003-02-05,3.234501347708895
2003-02-06,3.234501347708895
2003-02-07,3.234501347708895
2003-02-10,3.5040431266846364
2003-02-11,3.7735849056603774
2003-02-12,2.4258760107816713
2003-02-13,2.15633423180593
2003-02-14,2.964959568733154
2003-02-18,3.5040431266846364
2003-02-19,3.7735849056603774
2003-02-20,4.31266846361186
2003-02-21,7.277628032345014
2003-02-24,5.3908355795148255
2003-02-25,3.7735849056603774
2003-02-26,3.234501347708895
2003-02-27,2.4258760107816713
2003-02-28,2.964959568733154
2003-03-03,2.6954177897574128
2003-03-04,1.3477088948787064
2003-03-05,1.3477088948787064
2003-03-06,2.15633423180593
2003-03-07,2.15633423180593
2003-03-10,2.15633423180593
2003-03-11,1.3477088948787064
2003-03-12,1.078167115902965
2003-03-13,8.086253369272237
2003-03-14,7.547169811320755
2003-03-17,19.67654986522911
2003-03-18,17.25067385444744
2003-03-19,15.633423180592992
2003-03-20,17.52021563342318
2003-03-21,28.57142857142857
2003-03-24,17.25067385444744
2003-03-25,16.711590296495956
2003-03-26,13.20754716981132
2003-03-27,9.164420485175203
2003-03-28,8.62533692722372
2003-03-31,8.086253369272237
2003-04-01,7.277628032345014
2003-04-02,18.059299191374663
2003-04-03,15.09433962264151
2003-04-04,11.859838274932615
2003-04-07,25.067385444743934
2003-04-08,17.52021563342318
2003-04-09,14.285714285714285
2003-04-10,11.859838274932615
2003-04-11,15.633423180592992
2003-04-14,16.711590296495956
2003-04-15,18.598382749326145
2003-04-16,18.867924528301888
2003-04-17,18.328840970350406
2003-04-21,16.711590296495956
2003-04-22,27.49326145552561
2003-04-23,23.71967654986523
2003-04-24,22.371967654986523
2003-04-25,15.09433962264151
2003-04-28,19.40700808625337
2003-04-29,17.52021563342318
2003-04-30,18.867924528301888
2003-05-01,14.555256064690028
2003-05-02,19.946091644204852
2003-05-05,19.946091644204852
2003-05-06,22.641509433962266
2003-05-07,18.598382749326145
2003-05-08,14.285714285714285
2003-05-09,16.9811320754717
2003-05-12,26.1455525606469
2003-05-13,24.528301886792452
2003-05-14,21.563342318059302
2003-05-15,22.641509433962266
2003-05-16,23.71967654986523
2003-05-19,17.78975741239892
2003-05-20,13.20754716981132
2003-05-21,15.09433962264151
2003-05-22,21.83288409703504
2003-05-23,23.180592991913745
2003-05-27,31.805929919137466
2003-05-28,30.18867924528302
2003-05-29,30.727762803234505
2003-05-30,32.075471698113205
2003-06-02,39.62264150943396
2003-06-03,32.88409703504043
2003-06-04,41.23989218328841
2003-06-05,41.23989218328841
2003-06-06,41.77897574123989
2003-06-09,33.42318059299191
2003-06-10,30.997304582210244
2003-06-11,37.46630727762803
2003-06-12,37.46630727762803
2003-06-13,29.919137466307276
2003-06-16,34.50134770889488
2003-06-17,31.805929919137466
2003-06-18,26.68463611859838
2003-06-19,21.563342318059302
2003-06-20,16.711590296495956
2003-06-23,11.859838274932615
2003-06-24,10.242587601078167
2003-06-25,9.164420485175203
2003-06-26,8.355795148247978
2003-06-27,8.62533692722372
2003-06-30,7.008086253369273
2003-07-01,5.121293800539084
2003-07-02,8.62533692722372
2003-07-03,6.738544474393531
2003-07-07,14.285714285714285
2003-07-08,18.867924528301888
2003-07-09,15.363881401617252
2003-07-10,11.590296495956872
2003-07-11,10.781671159029651
2003-07-14,17.78975741239892
2003-07-15,14.285714285714285
2003-07-16,11.859838274932615
2003-07-17,10.781671159029651
2003-07-18,8.89487870619946
2003-07-21,8.064516129032258
2003-07-22,11.29032258064516
2003-07-23,11.827956989247312
2003-07-24,15.591397849462366
2003-07-25,14.516129032258066
2003-07-28,14.516129032258066
2003-07-29,13.440860215053762
2003-07-30,13.709677419354838
2003-07-31,16.93548387096774
2003-08-01,12.365591397849462
