Date,RSI60_Breadth
2003-01-02,0.0
2003-01-03,0.0
2003-01-06,0.0
2003-01-07,0.0
2003-01-08,0.0
2003-01-09,0.0
2003-01-10,0.0
2003-01-13,0.0
2003-01-14,0.0
2003-01-15,0.0
2003-01-16,0.0
2003-01-17,0.0
2003-01-21,0.0
2003-01-22,0.0
2003-01-23,14.975845410628018
2003-01-24,9.178743961352657
2003-01-27,6.038647342995169
2003-01-28,7.004830917874397
2003-01-29,8.695652173913043
2003-01-30,6.763285024154589
2003-01-31,8.454106280193237
2003-02-03,7.246376811594203
2003-02-04,6.521739130434782
2003-02-05,5.314009661835748
2003-02-06,6.038647342995169
2003-02-07,3.140096618357488
2003-02-10,4.5893719806763285
2003-02-11,4.1062801932367154
2003-02-12,3.864734299516908
2003-02-13,2.898550724637681
2003-02-14,5.314009661835748
2003-02-18,7.487922705314009
2003-02-19,7.004830917874397
2003-02-20,7.487922705314009
2003-02-21,10.869565217391305
2003-02-24,7.971014492753622
2003-02-25,8.454106280193237
2003-02-26,6.521739130434782
2003-02-27,8.454106280193237
2003-02-28,8.937198067632849
2003-03-03,7.729468599033816
2003-03-04,6.038647342995169
2003-03-05,7.971014492753622
2003-03-06,6.521739130434782
2003-03-07,8.212560386473431
2003-03-10,4.3478260869565215
2003-03-11,2.898550724637681
2003-03-12,3.3816425120772946
2003-03-13,8.454106280193237
2003-03-14,7.971014492753622
2003-03-17,20.28985507246377
2003-03-18,23.91304347826087
2003-03-19,25.120772946859905
2003-03-20,29.227053140096622
2003-03-21,39.85507246376812
2003-03-24,14.009661835748794
2003-03-25,22.463768115942027
2003-03-26,16.666666666666664
2003-03-27,16.666666666666664
2003-03-28,16.425120772946862
2003-03-31,11.83574879227053
2003-04-01,15.70048309178744
2003-04-02,22.705314009661837
2003-04-03,20.28985507246377
2003-04-04,20.048309178743963
2003-04-07,22.22222222222222
2003-04-08,19.806763285024154
2003-04-09,12.80193236714976
2003-04-10,15.217391304347828
2003-04-11,13.043478260869565
2003-04-14,23.18840579710145
2003-04-15,28.26086956521739
2003-04-16,19.806763285024154
2003-04-17,30.676328502415455
2003-04-21,28.743961352657006
2003-04-22,39.61352657004831
2003-04-23,39.85507246376812
2003-04-24,32.125603864734295
2003-04-25,23.67149758454106
2003-04-28,33.33333333333333
2003-04-29,32.125603864734295
2003-04-30,30.917874396135264
2003-05-01,28.743961352657006
2003-05-02,37.92270531400966
2003-05-05,37.43961352657005
2003-05-06,42.7536231884058
2003-05-07,35.507246376811594
2003-05-08,25.845410628019323
2003-05-09,34.54106280193236
2003-05-12,41.78743961352657
2003-05-13,35.748792270531396
2003-05-14,34.29951690821256
2003-05-15,39.371980676328505
2003-05-16,36.473429951690825
2003-05-19,18.59903381642512
2003-05-20,19.806763285024154
2003-05-21,22.705314009661837
2003-05-22,28.26086956521739
2003-05-23,31.88405797101449
2003-05-27,40.33816425120773
2003-05-28,41.30434782608695
2003-05-29,37.68115942028986
2003-05-30,44.68599033816425
2003-06-02,46.3768115942029
2003-06-03,45.169082125603865
2003-06-04,50.24154589371981
2003-06-05,51.449275362318836
2003-06-06,46.85990338164252
2003-06-09,32.850241545893724
2003-06-10,38.64734299516908
2003-06-11,43.47826086956522
2003-06-12,45.893719806763286
2003-06-13,33.091787439613526
2003-06-16,43.47826086956522
2003-06-17,40.82125603864734
2003-06-18,36.95652173913043
2003-06-19,23.67149758454106
2003-06-20,23.18840579710145
2003-06-23,13.285024154589372
2003-06-24,12.560386473429952
2003-06-25,10.628019323671497
2003-06-26,14.975845410628018
2003-06-27,12.318840579710146
2003-06-30,10.144927536231885
2003-07-01,13.768115942028986
2003-07-02,20.28985507246377
2003-07-03,16.183574879227052
2003-07-07,24.879227053140095
2003-07-08,29.71014492753623
2003-07-09,25.845410628019323
2003-07-10,14.492753623188406
2003-07-11,17.14975845410628
2003-07-14,23.42995169082126
2003-07-15,21.256038647342994
2003-07-16,16.666666666666664
2003-07-17,9.420289855072465
2003-07-18,12.077294685990339
2003-07-21,8.695652173913043
2003-07-22,12.077294685990339
2003-07-23,14.009661835748794
2003-07-24,13.768115942028986
2003-07-25,20.531400966183575
2003-07-28,21.73913043478261
2003-07-29,19.082125603864732
2003-07-30,18.357487922705314
2003-07-31,20.048309178743963
2003-08-01,15.458937198067632
2003-08-04,13.526570048309178
2003-08-05,6.763285024154589
2003-08-06,6.280193236714976
2003-08-07,8.454106280193237
2003-08-08,10.869565217391305
2003-08-11,12.560386473429952
2003-08-12,21.014492753623188
2003-08-13,18.59903381642512
2003-08-14,20.77294685990338
2003-08-15,21.256038647342994
2003-08-18,27.536231884057973
2003-08-19,30.676328502415455
2003-08-20,30.193236714975846
2003-08-21,32.850241545893724
2003-08-22,21.014492753623188
2003-08-25,18.59903381642512
2003-08-26,18.84057971014493
2003-08-27,21.497584541062803
2003-08-28,28.743961352657006
2003-08-29,30.676328502415455
2003-09-02,42.99516908212561
2003-09-03,41.30434782608695
2003-09-04,40.09661835748793
2003-09-05,29.951690821256037
2003-09-08,35.748792270531396
2003-09-09,27.536231884057973
