NVDA
AAPL
MSFT
AMZN
META
AVGO
GOOGL
TSLA
GOOG
BRK-B
JPM
V
LLY
NFLX
XOM
ORCL
MA
WMT
JNJ
COST
PLTR
HD
ABBV
PG
BAC
GE
UNH
CVX
WFC
CSCO
IBM
AMD
KO
PM
GS
ABT
CRM
LIN
CAT
MCD
RTX
UBER
DIS
T
MRK
INTU
MS
PEP
NOW
C
AXP
QCOM
VZ
BKNG
MU
TMO
APP
TXN
GEV
BLK
LRCX
SCHW
BA
AMAT
TJX
ISRG
NEE
SPGI
ADBE
APH
INTC
ANET
AMGN
BSX
ACN
LOW
COF
ETN
PGR
KLAC
GILD
UNP
PANW
PFE
HON
BX
SYK
ADI
COP
MDT
CRWD
DE
ADP
CMCSA
DHR
TMUS
WELL
MO
PLD
CB
SO
CEG
LMT
VRTX
MMC
DASH
CME
ICE
CDNS
SBUX
PH
DUK
HOOD
CVS
KKR
NEM
MCK
AMT
TT
SNPS
ORLY
BMY
GD
NKE
RCL
MMM
MDLZ
WM
PNC
SHW
NOC
AJG
WMB
BK
EQIX
HWM
USB
MSI
CI
AON
EMR
MCO
TDG
ELV
FI
COIN
AZO
JCI
CTAS
ADSK
ITW
ECL
HCA
NSC
CL
EOG
VST
PYPL
TEL
CSX
APO
ZTS
TRV
GLW
HLT
UPS
URI
MPC
SPG
PWR
APD
TFC
MAR
COR
AEP
GM
CMI
NXPI
SRE
REGN
PSX
AXON
ALL
DLR
FAST
O
KMI
LHX
FTNT
VLO
ROP
CMG
AFL
WDAY
ABNB
BDX
SLB
FDX
D
FCX
PCAR
IDXX
BKR
WBD
ROST
CARR
STX
AMP
OKE
MNST
RSG
CBRE
DHI
XEL
CTVA
F
MET
PSA
EXC
EW
DDOG
MSCI
MPWR
AME
AIG
EBAY
TTWO
GWW
YUM
CCI
PAYX
PEG
XYZ
KMB
ETR
CPRT
KR
DELL
TGT
NDAQ
VMC
RMD
SYY
GRMN
ROK
EA
WDC
FICO
HIG
TRGP
DAL
MLM
PRU
WEC
CAH
ED
CSGP
MCHP
OTIS
KDP
XYL
A
VRSK
VICI
EQT
OXY
WAB
FIS
ACGL
CCL
WTW
GEHC
CTSH
STT
UAL
HPE
PCG
NRG
DD
KVUE
EFX
VTR
MTB
NUE
RJF
HUM
IQV
IRM
FITB
TSCO
KEYS
ADM
EXR
IR
IBKR
DTE
LEN
EME
SYF
HSY
BR
FANG
AVB
AEE
BRO
DXCM
PPL
TDY
ATO
AWK
GIS
VLTO
ODFL
CBOE
LYV
EXPE
PHM
HBAN
ES
HPQ
CNP
CHTR
NTRS
WSM
MTD
EXE
CINF
PTC
ULTA
STE
IP
NTAP
FSLR
VRSN
RF
PPG
LDOS
SMCI
CFG
PODD
LH
DOV
FE
JBL
NVR
TYL
DG
DVN
TROW
HUBB
TPR
WRB
EQR
SW
KHC
DRI
CMS
HAL
SBAC
TER
TTD
K
CHD
DGX
EIX
CPAY
GPN
CDW
ON
BIIB
NI
IT
EL
GDDY
TRMB
ZBH
PKG
GPC
STLD
STZ
FFIV
LULU
APTV
AMCR
WST
CTRA
DLTR
TPL
SNA
J
PNR
KEY
WY
WAT
ESS
EVRG
LNT
L
LUV
LII
PFG
EXPD
FTV
MKC
LVS
MAA
INVH
ROL
CNC
GEN
CHRW
DOW
DECK
IFF
ZBRA
TSN
CLX
OMC
TXT
ALLE
HOLX
MAS
EG
CF
KIM
BBY
TKO
COO
INCY
DPZ
BALL
DOC
ARE
BLDR
LYB
FOXA
AVY
NDSN
IEX
SWKS
REG
RL
SJM
GL
NWSA
SWK
CPT
UHS
VTRS
BAX
NCLH
UDR
BG
MOS
BXP
HST
DAY
JKHY
AIZ
FDS
AKAM
HII
WYNN
PAYC
SOLV
PNW
MOH
IVZ
JBHT
ALB
POOL
HAS
RVTY
GNRC
IPG
AES
APA
CAG
MTCH
ALGN
EPAM
MRNA
AOS
TECH
ERIE
LKQ
FRT
TAP
LW
BEN
FOX
CRL
MGM
HRL
EMN
KMX
HSIC
MHK
CPB
PSKY
BF.B
DVA
NWS
NWS
