date,breadth_count,breadth_percent
2021-03-11,209.0,41.5506958250497
2021-03-12,221.0,43.93638170974155
2021-03-15,229.0,45.52683896620278
2021-03-16,235.0,46.71968190854871
2021-03-17,245.0,48.70775347912525
2021-03-18,254.0,50.49701789264414
2021-03-19,259.0,51.491053677932406
2021-03-22,263.0,52.286282306163024
2021-03-23,255.0,50.695825049701796
2021-03-24,241.0,47.912524850894634
2021-03-25,229.0,45.52683896620278
2021-03-26,219.0,43.538767395626245
2021-03-29,207.0,41.15308151093439
2021-03-30,199.0,39.562624254473164
2021-03-31,191.0,37.97216699801193
2021-04-01,189.0,37.57455268389662
2021-04-05,193.0,38.36978131212724
2021-04-06,209.0,41.5506958250497
2021-04-07,235.0,46.71968190854871
2021-04-08,269.0,53.47912524850894
2021-04-09,277.0,55.069582504970185
2021-04-12,285.0,56.66003976143141
2021-04-13,295.0,58.64811133200796
2021-04-14,301.0,59.84095427435388
2021-04-15,316.0,62.82306163021869
2021-04-16,320.0,63.618290258449306
2021-04-19,332.0,66.00397614314116
2021-04-20,329.0,65.4075546719682
2021-04-21,336.0,66.79920477137176
2021-04-22,327.0,65.00994035785288
2021-04-23,311.0,61.82902584493042
2021-04-26,310.0,61.63021868787276
2021-04-27,320.0,63.618290258449306
2021-04-28,316.0,62.82306163021869
2021-04-29,315.0,62.62425447316103
2021-04-30,307.0,61.0337972166998
2021-05-03,305.0,60.63618290258449
2021-05-04,304.0,60.437375745526836
2021-05-05,298.0,59.24453280318092
2021-05-06,303.0,60.238568588469185
2021-05-07,287.0,57.057654075546715
2021-05-10,284.0,56.461232604373755
2021-05-11,285.0,56.66003976143141
2021-05-12,279.0,55.46719681908549
2021-05-13,262.0,52.087475149105366
2021-05-14,262.0,52.087475149105366
2021-05-17,257.0,51.0934393638171
2021-05-18,254.0,50.49701789264414
2021-05-19,245.0,48.70775347912525
2021-05-20,236.0,46.91848906560636
2021-05-21,219.0,43.538767395626245
2021-05-24,199.0,39.562624254473164
2021-05-25,189.0,37.57455268389662
2021-05-26,207.0,41.15308151093439
2021-05-27,210.0,41.74950298210736
2021-05-28,202.0,40.15904572564612
2021-06-01,191.0,37.97216699801193
2021-06-02,188.0,37.37574552683897
2021-06-03,200.0,39.761431411530815
2021-06-04,214.0,42.54473161033797
2021-06-07,221.0,43.93638170974155
2021-06-08,225.0,44.731610337972164
2021-06-09,234.0,46.52087475149106
2021-06-10,227.0,45.12922465208747
2021-06-11,221.0,43.93638170974155
2021-06-14,221.0,43.93638170974155
2021-06-15,221.0,43.93638170974155
2021-06-16,214.0,42.54473161033797
2021-06-17,206.0,40.95427435387674
2021-06-18,181.0,35.984095427435385
2021-06-21,166.0,33.00198807157058
